# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.39017465E-07     -0.61920589E-07     -0.26077540E-05     -0.17172983E-03
       2     -0.42313247E-07     -0.61920589E-07     -0.50416763E-05     -0.17172983E-03
       3     -0.43389741E-07     -0.61920589E-07     -0.59824225E-05     -0.17172983E-03
       4     -0.43634036E-07     -0.61920589E-07     -0.69145120E-05     -0.17172983E-03
       5     -0.45243382E-07     -0.61920589E-07     -0.77622051E-05     -0.17172983E-03
       6     -0.45649765E-07     -0.61920589E-07     -0.90555476E-05     -0.17172983E-03
       7     -0.49168377E-07     -0.61920589E-07     -0.11257283E-04     -0.17172983E-03
       8     -0.49944544E-07     -0.61920589E-07     -0.12391805E-04     -0.17172983E-03
       9     -0.54958639E-07     -0.61920589E-07     -0.15441961E-04     -0.17172983E-03
      10     -0.56679703E-07     -0.61920589E-07     -0.17042572E-04     -0.17172983E-03
      11     -0.57699750E-07     -0.61920589E-07     -0.19411606E-04     -0.17172983E-03
      12     -0.58940312E-07     -0.61920589E-07     -0.21923891E-04     -0.17172983E-03
      13     -0.59838194E-07     -0.61920589E-07     -0.24405172E-04     -0.17172983E-03
      14     -0.60062588E-07     -0.61920589E-07     -0.26671848E-04     -0.17172983E-03
      15     -0.60333553E-07     -0.61920589E-07     -0.27500931E-04     -0.17172983E-03
      16     -0.60443340E-07     -0.61920589E-07     -0.28583050E-04     -0.17172983E-03
      17     -0.60526757E-07     -0.61920589E-07     -0.28977325E-04     -0.17172983E-03
      18     -0.60624439E-07     -0.61920589E-07     -0.30403482E-04     -0.17172983E-03
      19     -0.60697350E-07     -0.61920589E-07     -0.31321874E-04     -0.17172983E-03
      20     -0.60771992E-07     -0.61920589E-07     -0.32589414E-04     -0.17172983E-03
      21     -0.60840860E-07     -0.61920589E-07     -0.33917554E-04     -0.17172983E-03
      22     -0.60894384E-07     -0.61920589E-07     -0.34682340E-04     -0.17172983E-03
      23     -0.60937690E-07     -0.61920589E-07     -0.35870708E-04     -0.17172983E-03
      24     -0.60982189E-07     -0.61920589E-07     -0.36161114E-04     -0.17172983E-03
      25     -0.61019027E-07     -0.61920589E-07     -0.36873500E-04     -0.17172983E-03
      26     -0.61053902E-07     -0.61920589E-07     -0.37467868E-04     -0.17172983E-03
