# q=  0.43737296E-03  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.74642075E-08     -0.11845524E-07     -0.26099066E-05     -0.17189968E-03
       2     -0.80946296E-08     -0.11845524E-07     -0.50448966E-05     -0.17189968E-03
       3     -0.83005594E-08     -0.11845524E-07     -0.59859475E-05     -0.17189968E-03
       4     -0.83472845E-08     -0.11845524E-07     -0.69187576E-05     -0.17189968E-03
       5     -0.86551682E-08     -0.11845524E-07     -0.77666834E-05     -0.17189968E-03
       6     -0.87328978E-08     -0.11845524E-07     -0.90609916E-05     -0.17189968E-03
       7     -0.94059398E-08     -0.11845524E-07     -0.11263293E-04     -0.17189968E-03
       8     -0.95544447E-08     -0.11845524E-07     -0.12398923E-04     -0.17189968E-03
       9     -0.10513708E-07     -0.11845524E-07     -0.15450855E-04     -0.17189968E-03
      10     -0.10842962E-07     -0.11845524E-07     -0.17052407E-04     -0.17189968E-03
      11     -0.11038095E-07     -0.11845524E-07     -0.19422359E-04     -0.17189968E-03
      12     -0.11275396E-07     -0.11845524E-07     -0.21936016E-04     -0.17189968E-03
      13     -0.11447172E-07     -0.11845524E-07     -0.24418150E-04     -0.17189968E-03
      14     -0.11490104E-07     -0.11845524E-07     -0.26685692E-04     -0.17189968E-03
      15     -0.11541939E-07     -0.11845524E-07     -0.27515097E-04     -0.17189968E-03
      16     -0.11562941E-07     -0.11845524E-07     -0.28597669E-04     -0.17189968E-03
      17     -0.11578898E-07     -0.11845524E-07     -0.28992132E-04     -0.17189968E-03
      18     -0.11597581E-07     -0.11845524E-07     -0.30418924E-04     -0.17189968E-03
      19     -0.11611529E-07     -0.11845524E-07     -0.31337896E-04     -0.17189968E-03
      20     -0.11625806E-07     -0.11845524E-07     -0.32606050E-04     -0.17189968E-03
      21     -0.11638979E-07     -0.11845524E-07     -0.33934764E-04     -0.17189968E-03
      22     -0.11649218E-07     -0.11845524E-07     -0.34700001E-04     -0.17189968E-03
      23     -0.11657503E-07     -0.11845524E-07     -0.35888880E-04     -0.17189968E-03
      24     -0.11666015E-07     -0.11845524E-07     -0.36179509E-04     -0.17189968E-03
      25     -0.11673062E-07     -0.11845524E-07     -0.36892207E-04     -0.17189968E-03
      26     -0.11679734E-07     -0.11845524E-07     -0.37486879E-04     -0.17189968E-03
      27     -0.11683950E-07     -0.11845524E-07     -0.37763479E-04     -0.17189968E-03
      28     -0.11689686E-07     -0.11845524E-07     -0.38533469E-04     -0.17189968E-03
      29     -0.11692982E-07     -0.11845524E-07     -0.38814423E-04     -0.17189968E-03
      30     -0.11696814E-07     -0.11845524E-07     -0.39149245E-04     -0.17189968E-03
      31     -0.11700530E-07     -0.11845524E-07     -0.39426503E-04     -0.17189968E-03
      32     -0.11704909E-07     -0.11845524E-07     -0.39887252E-04     -0.17189968E-03
      33     -0.11710651E-07     -0.11845524E-07     -0.40254033E-04     -0.17189968E-03
      34     -0.11719012E-07     -0.11845524E-07     -0.40812476E-04     -0.17189968E-03
      35     -0.11724087E-07     -0.11845524E-07     -0.41109552E-04     -0.17189968E-03
      36     -0.11740596E-07     -0.11845524E-07     -0.42091337E-04     -0.17189968E-03
      37     -0.11747588E-07     -0.11845524E-07     -0.42437395E-04     -0.17189968E-03
      38     -0.11753613E-07     -0.11845524E-07     -0.42911426E-04     -0.17189968E-03
      39     -0.11757171E-07     -0.11845524E-07     -0.43124941E-04     -0.17189968E-03
      40     -0.11759511E-07     -0.11845524E-07     -0.43320754E-04     -0.17189968E-03
      41     -0.11761305E-07     -0.11845524E-07     -0.43469617E-04     -0.17189968E-03
      42     -0.11762754E-07     -0.11845524E-07     -0.43661960E-04     -0.17189968E-03
      43     -0.11765528E-07     -0.11845524E-07     -0.43821360E-04     -0.17189968E-03
      44     -0.11766997E-07     -0.11845524E-07     -0.43987054E-04     -0.17189968E-03
      45     -0.11768837E-07     -0.11845524E-07     -0.44184667E-04     -0.17189968E-03
      46     -0.11770172E-07     -0.11845524E-07     -0.44338040E-04     -0.17189968E-03
      47     -0.11771991E-07     -0.11845524E-07     -0.44464700E-04     -0.17189968E-03
      48     -0.11773360E-07     -0.11845524E-07     -0.44618932E-04     -0.17189968E-03
      49     -0.11774888E-07     -0.11845524E-07     -0.44814873E-04     -0.17189968E-03
      50     -0.11775966E-07     -0.11845524E-07     -0.44936086E-04     -0.17189968E-03
      51     -0.11777290E-07     -0.11845524E-07     -0.45082030E-04     -0.17189968E-03
      52     -0.11779012E-07     -0.11845524E-07     -0.45383337E-04     -0.17189968E-03
      53     -0.11780572E-07     -0.11845524E-07     -0.45568004E-04     -0.17189968E-03
      54     -0.11781578E-07     -0.11845524E-07     -0.45749054E-04     -0.17189968E-03
      55     -0.11784127E-07     -0.11845524E-07     -0.46110734E-04     -0.17189968E-03
      56     -0.11785830E-07     -0.11845524E-07     -0.46428304E-04     -0.17189968E-03
      57     -0.11787393E-07     -0.11845524E-07     -0.46640037E-04     -0.17189968E-03
      58     -0.11788924E-07     -0.11845524E-07     -0.46868517E-04     -0.17189968E-03
      59     -0.11791016E-07     -0.11845524E-07     -0.47144661E-04     -0.17189968E-03
      60     -0.11793330E-07     -0.11845524E-07     -0.47534106E-04     -0.17189968E-03
      61     -0.11795559E-07     -0.11845524E-07     -0.47910023E-04     -0.17189968E-03
      62     -0.11797063E-07     -0.11845524E-07     -0.48273851E-04     -0.17189968E-03
      63     -0.11798461E-07     -0.11845524E-07     -0.48558890E-04     -0.17189968E-03
      64     -0.11799344E-07     -0.11845524E-07     -0.48735312E-04     -0.17189968E-03
      65     -0.11800728E-07     -0.11845524E-07     -0.49020012E-04     -0.17189968E-03
      66     -0.11801857E-07     -0.11845524E-07     -0.49285753E-04     -0.17189968E-03
      67     -0.11803047E-07     -0.11845524E-07     -0.49549931E-04     -0.17189968E-03
      68     -0.11804172E-07     -0.11845524E-07     -0.49846001E-04     -0.17189968E-03
      69     -0.11805213E-07     -0.11845524E-07     -0.50109483E-04     -0.17189968E-03
      70     -0.11806205E-07     -0.11845524E-07     -0.50353231E-04     -0.17189968E-03
      71     -0.11807101E-07     -0.11845524E-07     -0.50572555E-04     -0.17189968E-03
      72     -0.11808342E-07     -0.11845524E-07     -0.50967266E-04     -0.17189968E-03
      73     -0.11809384E-07     -0.11845524E-07     -0.51276479E-04     -0.17189968E-03
      74     -0.11810069E-07     -0.11845524E-07     -0.51507750E-04     -0.17189968E-03
      75     -0.11811023E-07     -0.11845524E-07     -0.51769335E-04     -0.17189968E-03
      76     -0.11811608E-07     -0.11845524E-07     -0.52003444E-04     -0.17189968E-03
      77     -0.11812342E-07     -0.11845524E-07     -0.52179836E-04     -0.17189968E-03
      78     -0.11812820E-07     -0.11845524E-07     -0.52326172E-04     -0.17189968E-03
      79     -0.11813406E-07     -0.11845524E-07     -0.52507933E-04     -0.17189968E-03
      80     -0.11813902E-07     -0.11845524E-07     -0.52652157E-04     -0.17189968E-03
      81     -0.11814352E-07     -0.11845524E-07     -0.52790615E-04     -0.17189968E-03
      82     -0.11814749E-07     -0.11845524E-07     -0.52909942E-04     -0.17189968E-03
      83     -0.11815152E-07     -0.11845524E-07     -0.53040663E-04     -0.17189968E-03
      84     -0.11815529E-07     -0.11845524E-07     -0.53175300E-04     -0.17189968E-03
      85     -0.11816060E-07     -0.11845524E-07     -0.53344136E-04     -0.17189968E-03
      86     -0.11816461E-07     -0.11845524E-07     -0.53504815E-04     -0.17189968E-03
      87     -0.11816968E-07     -0.11845524E-07     -0.53662530E-04     -0.17189968E-03
      88     -0.11817416E-07     -0.11845524E-07     -0.53823108E-04     -0.17189968E-03
      89     -0.11817802E-07     -0.11845524E-07     -0.53938244E-04     -0.17189968E-03
      90     -0.11818251E-07     -0.11845524E-07     -0.54151359E-04     -0.17189968E-03
      91     -0.11818567E-07     -0.11845524E-07     -0.54279759E-04     -0.17189968E-03
      92     -0.11819099E-07     -0.11845524E-07     -0.54546761E-04     -0.17189968E-03
      93     -0.11819673E-07     -0.11845524E-07     -0.54799130E-04     -0.17189968E-03
      94     -0.11819943E-07     -0.11845524E-07     -0.54954335E-04     -0.17189968E-03
      95     -0.11820310E-07     -0.11845524E-07     -0.55153272E-04     -0.17189968E-03
      96     -0.11820814E-07     -0.11845524E-07     -0.55438985E-04     -0.17189968E-03
      97     -0.11821353E-07     -0.11845524E-07     -0.55674108E-04     -0.17189968E-03
      98     -0.11821750E-07     -0.11845524E-07     -0.55877309E-04     -0.17189968E-03
      99     -0.11822146E-07     -0.11845524E-07     -0.56079543E-04     -0.17189968E-03
     100     -0.11822442E-07     -0.11845524E-07     -0.56219571E-04     -0.17189968E-03
     101     -0.11822773E-07     -0.11845524E-07     -0.56373482E-04     -0.17189968E-03
     102     -0.11823194E-07     -0.11845524E-07     -0.56597832E-04     -0.17189968E-03
     103     -0.11823591E-07     -0.11845524E-07     -0.56839217E-04     -0.17189968E-03
     104     -0.11824012E-07     -0.11845524E-07     -0.57121111E-04     -0.17189968E-03
     105     -0.11824340E-07     -0.11845524E-07     -0.57279422E-04     -0.17189968E-03
     106     -0.11824595E-07     -0.11845524E-07     -0.57429075E-04     -0.17189968E-03
     107     -0.11824825E-07     -0.11845524E-07     -0.57560759E-04     -0.17189968E-03
     108     -0.11825113E-07     -0.11845524E-07     -0.57687480E-04     -0.17189968E-03
     109     -0.11825365E-07     -0.11845524E-07     -0.57833596E-04     -0.17189968E-03
     110     -0.11825681E-07     -0.11845524E-07     -0.57992396E-04     -0.17189968E-03
     111     -0.11825971E-07     -0.11845524E-07     -0.58149291E-04     -0.17189968E-03
     112     -0.11826204E-07     -0.11845524E-07     -0.58277844E-04     -0.17189968E-03
     113     -0.11826471E-07     -0.11845524E-07     -0.58443905E-04     -0.17189968E-03
     114     -0.11826645E-07     -0.11845524E-07     -0.58546307E-04     -0.17189968E-03
     115     -0.11826984E-07     -0.11845524E-07     -0.58759915E-04     -0.17189968E-03
     116     -0.11827177E-07     -0.11845524E-07     -0.58886671E-04     -0.17189968E-03
     117     -0.11827415E-07     -0.11845524E-07     -0.59037886E-04     -0.17189968E-03
     118     -0.11827614E-07     -0.11845524E-07     -0.59194093E-04     -0.17189968E-03
     119     -0.11827904E-07     -0.11845524E-07     -0.59367690E-04     -0.17189968E-03
     120     -0.11828063E-07     -0.11845524E-07     -0.59470411E-04     -0.17189968E-03
     121     -0.11828286E-07     -0.11845524E-07     -0.59632768E-04     -0.17189968E-03
     122     -0.11828485E-07     -0.11845524E-07     -0.59765049E-04     -0.17189968E-03
     123     -0.11828681E-07     -0.11845524E-07     -0.59897024E-04     -0.17189968E-03
     124     -0.11828835E-07     -0.11845524E-07     -0.60016323E-04     -0.17189968E-03
     125     -0.11829125E-07     -0.11845524E-07     -0.60214346E-04     -0.17189968E-03
     126     -0.11829283E-07     -0.11845524E-07     -0.60326204E-04     -0.17189968E-03
     127     -0.11829541E-07     -0.11845524E-07     -0.60562086E-04     -0.17189968E-03
     128     -0.11829659E-07     -0.11845524E-07     -0.60649771E-04     -0.17189968E-03
     129     -0.11829876E-07     -0.11845524E-07     -0.60829235E-04     -0.17189968E-03
     130     -0.11830059E-07     -0.11845524E-07     -0.60986612E-04     -0.17189968E-03
     131     -0.11830217E-07     -0.11845524E-07     -0.61124583E-04     -0.17189968E-03
     132     -0.11830377E-07     -0.11845524E-07     -0.61286921E-04     -0.17189968E-03
     133     -0.11830592E-07     -0.11845524E-07     -0.61429701E-04     -0.17189968E-03
     134     -0.11830747E-07     -0.11845524E-07     -0.61552371E-04     -0.17189968E-03
     135     -0.11830856E-07     -0.11845524E-07     -0.61627374E-04     -0.17189968E-03
