
 frequency_dependence   1

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  1  0  0  1  0  0  0 -1
 mtrx03 =  0 -1  0  1 -1  0  0  0  1
 mtrx04 = -1  1  0 -1  0  0  0  0  1
 mtrx05 =  0 -1  0 -1  0  0  0  0 -1
 mtrx06 =  1  0  0  1 -1  0  0  0 -1
 mtrx07 =  1  0  0  0  1  0  0  0 -1
 mtrx08 = -1  1  0  0  1  0  0  0  1
 mtrx09 = -1  1  0 -1  0  0  0  0 -1
 mtrx10 =  0 -1  0  1 -1  0  0  0 -1
 mtrx11 =  1  0  0  1 -1  0  0  0  1
 mtrx12 =  0 -1  0 -1  0  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -21.816349  -21.816349  -26.918049   15.141912   -8.940883  -20.717020  -16.065919  -26.467451  -25.430814   -8.813211  -20.589349  -26.339779  -25.331598    0.777120
   2   -9.669656   -9.669656  -18.537667    9.719054   -7.660537  -16.479150  -13.176062  -12.972744  -12.449007   -7.461072  -16.279685  -12.773279  -12.281170    0.841440
   3   -5.751189   -5.751189  -22.776600   11.825689  -10.576854  -21.527765  -18.207387   -9.071567   -8.566461  -10.118625  -21.069536   -8.613338   -8.177939    0.847877
   4   -5.751189   -5.751189  -22.776600   11.825689  -10.576854  -21.527765  -18.207387   -9.071567   -8.566461  -10.118625  -21.069536   -8.613338   -8.177939    0.847877
   5    0.359896    0.359896   -1.322942    0.666353   -2.382566   -3.039155   -3.743427    1.064169    1.018841   -2.360591   -3.017180    1.086143    1.039401    0.935638
   6    1.153488    1.153488   -0.376628    0.201381   -0.943492   -1.118738   -1.230444    1.265194    1.261733   -0.927789   -1.103036    1.280897    1.276949    0.969015
   7    1.189180    1.189180   -0.178229    0.092602   -0.481414   -0.567041   -0.509922    1.132061    1.132924   -0.478168   -0.563795    1.135307    1.136120    0.984905
   8    2.249761    2.249761   -0.614980    0.333848   -1.184921   -1.466053   -1.677426    2.461134    2.453974   -1.156876   -1.438008    2.489179    2.481069    0.966125
   9    2.543290    2.543290   -0.482483    0.265230   -0.968230   -1.185483   -1.231990    2.589798    2.588530   -0.958194   -1.175447    2.599834    2.598292    0.972731
  10    4.230756    4.230756   -0.923604    0.517443   -1.541223   -1.947384   -2.187688    4.471060    4.461668   -1.491888   -1.898049    4.520395    4.509075    0.960915
  11    4.786252    4.786252   -0.822082    0.493332   -1.471422   -1.800172   -1.950907    4.936986    4.931537   -1.450407   -1.779157    4.958001    4.951793    0.963850
  12    6.857242    6.857242   -2.112540    1.222223   -3.189371   -4.079688   -4.611089    7.388644    7.353356   -3.052444   -3.942761    7.525570    7.481190    0.933595
  13    7.093745    7.093745   -7.433738    4.454402   -9.363162  -12.342498  -14.367790    9.119037    8.834247   -9.068442  -12.047778    9.413757    9.087525    0.859384
  14    7.093745    7.093745   -7.433738    4.454402   -9.363162  -12.342498  -14.367790    9.119037    8.834247   -9.068442  -12.047778    9.413757    9.087525    0.859384
  15    7.538126    7.538126   -2.107397    1.406995   -3.333739   -4.034140   -4.442750    7.946735    7.920737   -3.268615   -3.969017    8.011859    7.981716    0.936373
  16    8.938272    8.938272   -3.438603    1.901801   -6.078042   -7.614843   -8.755957   10.079386    9.943013   -5.831323   -7.368124   10.326105   10.160247    0.880491
 
       k =  0.000000  0.083333  0.000000 ik =   2 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
